State FIPS code,State,County FIPS code,County name,Number of returns
00,US,000,Total [13],"148,965,910"
01,AL,000,Alabama,2053620
01,AL,001,Autauga County,23960
01,AL,003,Baldwin County,93140
01,AL,005,Barbour County,9590
01,AL,007,Bibb County,7960
01,AL,009,Blount County,22020
01,AL,011,Bullock County,3860
01,AL,013,Butler County,8230
01,AL,015,Calhoun County,48110
01,AL,017,Chambers County,14550
01,AL,019,Cherokee County,9210
01,AL,021,Chilton County,17300
01,AL,023,Choctaw County,5090
01,AL,025,Clarke County,10220
01,AL,027,Clay County,5540
01,AL,029,Cleburne County,5660
01,AL,031,Coffee County,21330
01,AL,033,Colbert County,23690
01,AL,035,Conecuh County,4780
01,AL,037,Coosa County,3890
01,AL,039,Covington County,14930
01,AL,041,Crenshaw County,5780
01,AL,043,Cullman County,33580
01,AL,045,Dale County,20150
01,AL,047,Dallas County,16170
01,AL,049,DeKalb County,26660
01,AL,051,Elmore County,35010
01,AL,053,Escambia County,14370
01,AL,055,Etowah County,42020
01,AL,057,Fayette County,6260
01,AL,059,Franklin County,12340
01,AL,061,Geneva County,10160
01,AL,063,Greene County,3370
01,AL,065,Hale County,6400
01,AL,067,Henry County,7050
01,AL,069,Houston County,44500
01,AL,071,Jackson County,21170
01,AL,073,Jefferson County,295720
01,AL,075,Lamar County,5300
01,AL,077,Lauderdale County,38220
01,AL,079,Lawrence County,13510
01,AL,081,Lee County,62690
01,AL,083,Limestone County,38100
01,AL,085,Lowndes County,4860
01,AL,087,Macon County,7960
01,AL,089,Madison County,165980
01,AL,091,Marengo County,8270
01,AL,093,Marion County,10750
01,AL,095,Marshall County,39400
01,AL,097,Mobile County,176320
01,AL,099,Monroe County,8080
01,AL,101,Montgomery County,100030
01,AL,103,Morgan County,52360
01,AL,105,Perry County,3710
01,AL,107,Pickens County,7400
01,AL,109,Pike County,12610
01,AL,111,Randolph County,8880
01,AL,113,Russell County,23450
01,AL,115,St. Clair County,35840
01,AL,117,Shelby County,93640
01,AL,119,Sumter County,4920
01,AL,121,Talladega County,32660
01,AL,123,Tallapoosa County,17310
01,AL,125,Tuscaloosa County,82580
01,AL,127,Walker County,25250
01,AL,129,Washington County,6550
01,AL,131,Wilcox County,4450
01,AL,133,Winston County,9010
02,AK,000,Alaska,362220
02,AK,013,Aleutians East Borough,900
02,AK,016,Aleutians West Census Area,2240
02,AK,020,Anchorage Municipality,154130
02,AK,050,Bethel Census Area,7020
02,AK,060,Bristol Bay Borough,530
02,AK,068,Denali Borough,1200
02,AK,070,Dillingham Census Area,2320
02,AK,090,Fairbanks North Star Borough,48780
02,AK,100,Haines Borough,1340
02,AK,105,Hoonah-Angoon Census Area,1010
02,AK,110,Juneau City and Borough,17350
02,AK,122,Kenai Peninsula Borough,29000
02,AK,130,Ketchikan Gateway Borough,7270
02,AK,150,Kodiak Island Borough,6950
02,AK,158,Kusilvak Census Area,3170
02,AK,164,Lake and Peninsula Borough,740
02,AK,170,Matanuska-Susitna Borough,45510
02,AK,180,Nome Census Area,3800
02,AK,185,North Slope Borough,3760
02,AK,188,Northwest Arctic Borough,2570
02,AK,195,Petersburg Census Area,1920
02,AK,198,Prince of Wales-Hyder Census Area,2400
02,AK,220,Sitka City and Borough,4700
02,AK,230,Skagway Municipality,810
02,AK,240,Southeast Fairbanks Census Area,3320
02,AK,261,Valdez-Cordova Census Area,5180
02,AK,275,Wrangell City and Borough,1170
02,AK,282,Yakutat City and Borough,270
02,AK,290,Yukon-Koyukuk Census Area,2900
04,AZ,000,Arizona,2904290
04,AZ,001,Apache County,24580
04,AZ,003,Cochise County,51930
04,AZ,005,Coconino County,59740
04,AZ,007,Gila County,21510
04,AZ,009,Graham County,11310
04,AZ,011,Greenlee County,3470
04,AZ,012,La Paz County,6510
04,AZ,013,Maricopa County,1821940
04,AZ,015,Mohave County,80250
04,AZ,017,Navajo County,38670
04,AZ,019,Pima County,439010
04,AZ,021,Pinal County,138990
04,AZ,023,Santa Cruz County,20080
04,AZ,025,Yavapai County,102360
04,AZ,027,Yuma County,84000
05,AR,000,Arkansas,1229010
05,AR,001,Arkansas County,7850
05,AR,003,Ashley County,8190
05,AR,005,Baxter County,17620
05,AR,007,Benton County,109690
05,AR,009,Boone County,15460
05,AR,011,Bradley County,4360
05,AR,013,Calhoun County,1880
05,AR,015,Carroll County,11990
05,AR,017,Chicot County,4040
05,AR,019,Clark County,8430
05,AR,021,Clay County,5890
05,AR,023,Cleburne County,10360
05,AR,025,Cleveland County,3150
05,AR,027,Columbia County,9050
05,AR,029,Conway County,8340
